question,answer,category,category2,seamusid
Even the Bronze plan is too expensive for me. Are there other options?,"People up to age 30 will have the option of buying <a href=""https://www.healthcare.gov/what-are-the-different-types-of-health-insurance/"">a catastrophic plan</a> that will cover only minimal services until they meet a deductible of roughly $6,400. The premium is usually much lower than the other plans. After the deductible is met, the plan covers the 10 essential health benefits — a kind of ""safety net"" coverage in case you have an accident or serious illness, according to the <a href=""https://www.healthcare.gov/what-are-the-different-types-of-health-insurance/"">Healthcare.gov website</a>. Catastrophic plans usually do not provide coverage for services like prescription drugs or shots. And there are other limits.<br><br>
According to Healthcare.gov:<br><br>
<blockquote><div>   <p>In the Marketplace, catastrophic plans are available only to people under 30 and to some low-income people who are exempt from paying the <a href=""https://www.healthcare.gov/what-if-someone-doesnt-have-health-coverage-in-2014"">fee</a> because other insurance is considered unaffordable or because they have received <a href=""https://www.healthcare.gov/glossary/hardship-exemption"">""hardship exemptions""</a>. Marketplace catastrophic plans cover 3 annual primary care visits and <a href=""https://www.healthcare.gov/what-are-my-preventive-care-benefits"">preventive services</a> at no cost.</p>   </div></blockquote>",Young Adults,Costs,
How much will insurance cost me on the exchange?,"It depends on several factors, including your income, the state in which you live, your age, whether you smoke or not and your family size. You could end up paying very little or nothing at all if your income falls within a certain range.  If you don't qualify for a subsidy, from what we've seen so far, premiums for the standard ""silver plan"" seem to be averaging <a href=""http://www.avalerehealth.net/news/spotlight/20130619_Avalere_Exchange_Rate_Analysis.pdf"">between $200 and $400 a month</a> for an individual.</br> Depending on your circumstances and what plan you choose, coverage could be quite expensive — well over $1,000 a month in some cases. But this may still be lower than what you are paying now, if you have an individual policy.<br><br>

There are caveats. One is that the cheaper plans come with big deductibles and lots of other out-of-pocket costs. Now, if you don't think you're going to have much in the way of medical expenses, that may be fine. But people should be aware that if they buy a plan that only costs $40 or $50 a month, they may have a $5,000 or $10,000 deductible before the plan starts paying benefits.<br><br>

The other is that some of these less expensive plans come with very limited lists of doctors and hospitals. So if you have a particular doctor or hospital you know you want to use, you should check that before you sign up.",Exchanges,Costs,243584170
I have read that the subsidy can only be applied to a Silver plan. Is that true?,"It depends on which subsidy you're talking about.<br><br>
One subsidy is to help pay your monthly premiums. If you qualify for that subsidy (<a href=""http://www.npr.org/blogs/health/2013/09/30/226456791/how-much-will-obamacare-cost-me-try-our-calculator"" target=""_self"">use our calculator</a>), you can apply it toward the purchase of any plan — bronze, silver, gold or platinum. Where silver plans come into play here is in calculating the amount of your subsidy: It's based on the price of the second-lowest silver plan in your area. If you choose a gold or platinum plan, you'll still get the subsidy. But those plans have higher monthly premiums and you'll have to make up the difference. Likewise, if you choose a bronze plan, you'll get the subsidy and your monthly premiums will be less.<br><br>
There's another subsidy to be had in the form of help with deductibles and co-payments. To qualify for that subsidy, you do have to choose a silver plan. Your income also has to fall below $28,725 for an individual or $58,875 for a family of four.",Exchanges,Costs,243584170
"If I am buying coverage on my own, do I have to buy it on the exchange?","Consumers can shop for coverage on or off the exchange. However, subsidies for those who are eligible are generally available only for plans sold on the exchange.",Exchanges,Costs,243584170
"If I am sick and unable to work and have no income, can I get a plan on an exchange for free?","<p>If you are disabled and have no income, you most likely won't be shopping for insurance on the exchanges. Rather, you may qualify for Medicaid. In <a href=""http://ssa-custhelp.ssa.gov/app/answers/detail/a_id/633/~/relationship-between-ssi-and-medicaid"" target=""_self"">most states</a>, if you qualify to collect Supplemental Security Income, or SSI, you also qualify for Medicaid. For more information on Medicaid eligibility and links to your state's Medicaid office, click <a href=""http://ssa-custhelp.ssa.gov/app/answers/detail/a_id/633/~/relationship-between-ssi-and-medicaid"" target=""_self"">here</a>.</p>",Exchanges,Costs,
What if I can't afford the premiums?,"The health law provides fairly generous subsidies for many people, effectively lowering their monthly premiums. The subsidies are on a sliding scale, though, so they become less generous as your income grows. If your income is between 100 percent of the <a href=""http://aspe.hhs.gov/poverty/13poverty.cfm"">federal poverty level</a> ($11,490 for an individual) and 400 percent ($45,960), you can get some help paying for premiums. A family of four can get a subsidy, although just a small one, with income up to $94,200.<br><br>

Some people also can get help with deductibles and co-payments. To qualify, your income has to be less than 2.5 times the poverty level ($28,725 for an individual or $58,875 for a family of four). You also have to choose a so-called silver plan. That's the second lowest cost of the four levels of coverage that will be available — bronze, silver, gold and platinum.<br><br>

Subsidy amounts are calculated based on your modified adjusted gross income, a figure you can find on your annual tax return by <a href=""http://ssa-custhelp.ssa.gov/app/answers/detail/a_id/1601/~/calculation-of-modified-adjusted-gross-income-(magi)"">adding lines 8b and 37 on IRS form 1040</a>. That includes things like wages and interest, less deductions like tuition and alimony, and additional payroll taxes paid by the self-employed. it does not include assets such as the value of your house, stocks or retirement accounts. You'll be asked to estimate what your income will be for next year; if you're wrong, you'll have to reconcile with the IRS come tax time the following year.<br><br>",Exchanges,Costs,243584170
What if I don't have health insurance and I get sick or have to go to the emergency room?,"If you don't have insurance, you'll get a bill, just as it's always been. If you can't pay, the hospital or other health care provider will still try to collect from you, although there are some provisions of the law aimed at <a href=""http://www.foxbusiness.com/personal-finance/2012/07/02/irs-to-tax-exempt-hospitals-go-easier-on-medical-debt-collection/"">discouraging some of the most aggressive collection tactics</a> that have been used in the past. If they don't collect, the health care provider would have to eat the cost. That's why hospitals have been so anxious to have most people covered by insurance, so that they could stop providing so much free care to people who can't pay.",Penalties,Costs,
What if I'm wrong about my estimated income for next year?,"If your income increases during the year, notify the exchange promptly so that you can avoid having to pay back the subsidy. On the other hand, if your income goes down, you could be eligible for a bigger subsidy. Either way it's important to notify the exchange if your income changes.

",Exchanges,Costs,
Will everyone pay the same price?,You won't have to pay more for insurance if you have a medical condition and that condition will be covered when your policy begins. But older people can be charged more than younger people and smokers face a surcharge.,Exchanges,Costs,
Can I change insurance plans later?,"Generally, you are only able to enroll in or change plans once a year during the open enrollment period. This first year, that period runs from Oct. 1, 2013 to Mar. 31, 2014. In subsequent years, the time period will be shorter, running from Oct. 15 to Dec. 7. <br><br>

There are certain circumstances in which you'll be allowed to change plans or add or drop someone from coverage outside of the regular annual enrollment period. This could happen if: you lose your job; get married or divorced; give birth to or adopt a child; or move to a different state. Any such life events triggers a special 60-day enrollment period where you can change or buy health insurance on an exchange. Otherwise, you'll have to wait until the next open enrollment.",Exchanges,Eligibility,
Can I wait until I get sick to sign up for insurance?,"No. You can't just sign up when you're sick and facing big medical bills. Otherwise that's what everyone would do. The exchanges under the Affordable Care Act have been designed pretty much the same way most employer insurance plans are: There's an open season every year when you can buy or change plans, and that's generally the only time you can buy or change plans.",Exchanges,Eligibility,
Can I wait until I get sick to sign up for insurance?,"No. You can't just sign up when you're sick and facing big medical bills. Otherwise, that's what everyone would do. The exchanges under the Affordable Care Act have been designed pretty much the same way most employer insurance plans are: There's an <a href=""https://www.healthcare.gov/"">open season</a> every year when you can buy or change plans, and that's generally the only time you can buy or change plans. This year's open season is a lengthy one — it runs from Oct. 1 to March 31, 2014. In <a href=""https://www.healthcare.gov/glossary/open-enrollment-period/"">future years</a>, it will begin in October and end in December of each year.",Penalties,Eligibility,
Can young adults qualify for Medicaid?,"Depending on your income and where you live, some young adults may qualify for Medicaid if they earn less than $16,000. States can decide whether to adopt the expansion; about <a href=""http://kff.org/medicaid/issue-brief/analyzing-the-impact-of-state-medicaid-expansion-decisions/"">half have done so</a>. (<a href=""http://www.npr.org/templates/story/story.php?storyId=231104643"">See our FAQ on the Medicaid expansion here.</a>)",Young Adults,Eligibility,
Could I be eligible for Medicaid now?,"The Affordable Care Act greatly expanded the number of people who qualify for Medicaid, the state-run health insurance program for people with low incomes. Previously, it was difficult for anyone other than pregnant women, parents and children to qualify. The law expands eligibility in ways that will allow many more people, including single and childless adullts, to qualify.

",Medicaid,Eligibility,
Do I have to buy insurance on an exchange?,"Some people do, but definitely not everyone. These exchanges are for two major groups of people: Those who don't have insurance now, and those who currently purchase their own insurance, meaning they don't get it through an employer.<br><br>

If you have insurance at your job or through a public program like Medicare, Medicaid or the VA, you don't need to pay attention to the exchanges unless you lose that coverage for some reason. If you have insurance through your employer, you can shop for and buy insurance on an exchange if you like, but you probably won't qualify for a subsidy or tax credit. And you would lose the contribution your employer makes toward health insurance.

",Exchanges,Eligibility,
How do I know if I'm eligible for Medicaid?,"The law extends eligibility to all adults under the age of 65 whose modified adjusted gross incomes fall below $16,000 for individuals and $32,500 for a family of four.<br><br>
In states that decided not to participate in the Medicaid expansion, the rules are different and vary from state to state. About half of the states opted out of the Medicaid expansion, which is something that the U.S. Supreme Court gave them permission to do. In those states, the income cutoff to be eligible for Medicaid is generally much lower than what was set in the Affordable Care Act, so fewer people will qualify. And if you're a childless adult, you're most likely not eligible in states that rejected the Medicaid expansion.
To find out the income cutoff in your state, <a href=""http://www.medicaid.gov/AffordableCareAct/Medicaid-Moving-Forward-2014/Medicaid-and-CHIP-Eligibility-Levels/medicaid-chip-eligibility-levels.html"">check out the tables here</a>.<br><br>
Or, just try signing up for coverage at your health insurance exchange. The exchange will calculate if you are eligible for Medicaid in your state, and, if you are, direct you to the proper state agency to get signed up. (<a href=""http://www.npr.org/templates/story/story.php?storyId=230916150"">Click here for our FAQ on how to navigate the exchanges</a>).",Medicaid,Eligibility,
How do I know which health plan is best for me?,"You should carefully weigh the state of your health and your financial situation to figure that out. For example, a person who's 27 and in excellent health may decide that the low premium and high deductibles of a Bronze or Silver plan are their best bet. Of course, an illness or accident could arise at any time, so you'll need to take that into consideration. That's why they call it insurance.<br><br>
For older adults with a chronic health condition or regular prescription expenses, it may be best to consider a Gold or Platinum plan with a higher premium that gives you a policy with lower out-of-pocket expenses for doctors visits and hospital stays.",Exchanges,Eligibility,
How long can I stay covered by my parents' insurance?,"Nearly all young people <a href=""http://www.cms.gov/CCIIO/Programs-and-Initiatives/Health-Insurance-Market-Reforms/Coverage-for-Young-Adults.html"">can stay on their parents' plan until age 26</a>, even if they're married, financially independent and no longer live with their parents. Young adults who are offered coverage through their own jobs can choose that plan or stick with their parents' plan if they prefer.",Young Adults,Eligibility,
I am on Medicare. Do I need to use an exchange?,"No. Medicare is <a href=""https://www.healthcare.gov/if-i-have-medicare-do-i-need-to-do-anything/"">not part</a> of the health insurance exchanges and Medigap policies are not being sold or subsidized through the exchanges. As a Medicare beneficiary, you can enroll at <a href=""http://www.medicare.gov/"">Medicare.gov</a> to get the program's traditional drug coverage or a Medicare Advantage plan. The Medicare open enrollment season begins on Oct. 15.",Exchanges,Eligibility,
I'm a U.S. citizen living abroad. Do I need to buy health insurance on an exchange?,"<p>No, if you live abroad for <a href=""http://www.irs.gov/uac/Questions-and-Answers-on-the-Individual-Shared-Responsibility-Provision"" target=""_self"">at least 330 days within a 12-month period</a>, you are not subject to the mandate to have health insurance. Insurance bought on the exchanges generally wouldn't cover you while overseas anyway (neither does Medicare, by the way). You'll need to find insurance that will cover you in the country where you live. The State Department <a href=""http://travel.state.gov/travel/cis_pa_tw/cis/cis_1470.html"" target=""_self"">keeps this list of companies that provide international coverage</a>. For country-specific information, <a href=""http://travel.state.gov/travel/cis_pa_tw/cis/cis_4965.html"" target=""_self"">look here</a>.</p>",Exchanges,Eligibility,
"I'm currently employed part time, and I pay for my own health insurance (not through my employer). Will I be eligible to participate in the exchanges, or to take advantage of the tax credits?","This is one of the biggest misconceptions about the exchanges — that they're only for people who don't have insurance.</br>

The <a href=""http://www.npr.org/blogs/health/2013/06/21/193925145/with-health-exchanges-poised-to-open-pr-push-draws-scrutiny"">big PR campaigns you'll be seeing in the coming weeks</a> are aimed mostly at the uninsured, but the exchanges are definitely also open to people who currently buy their own insurance.</br>

In fact, there are about <a href=""http://www.ahip.org/Issues/Individual-Market-Health-Insurance.aspx"">14 million people in the individual insurance market now</a>. That includes people who work part time and don't qualify for benefits; people who are self-employed; or people who may have retired early and don't yet qualify for Medicare.</br>",Exchanges,Eligibility,
"If I'm retired and my former employer offers me insurance, can I shop on the exchange to get a better deal?","Even if your former employer offers coverage, you can opt to buy a plan on the exchange. However, you may not be eligible for a subsidy.",Retirees and Seniors,Eligibility,
Is there anybody who <em>doesn't</em> have to have insurance?,"Yes, the government has <a href=""http://healthaffairs.org/blog/2013/06/27/implementing-health-reform-exemptions-from-the-individual-mandate/"">identified exemptions</a>. Individuals who cannot afford coverage because the cost of premiums exceed 8 percent of their household income or those whose household incomes are below the minimum threshold for filing a tax return are exempt. People experiencing certain hardships, including those who would have been <a href=""http://capsules.kaiserhealthnews.org/?p=20448"">eligible for Medicaid under the health law's new rules but whose states chose not to expand their programs</a>, also are exempt.<br><br>
<p>Other exempt groups include prisoners, Native Americans eligible for care through the Indian Health Service, immigrants who are in the country illegally, people whose religion objects to accepting insurance benefits, <a href=""http://www.npr.org/2013/09/28/227238887/the-religious-alternative-to-obamacares-individual-mandate"">members of a health care sharing ministry</a> and individuals who experience a short coverage gap of less than three consecutive months.<br><br>
<p>If you are seeking an exemption for incarceration, membership in an Indian tribe or <a href=""http://www.npr.org/2013/09/28/227238887/the-religious-alternative-to-obamacares-individual-mandate"">health care sharing ministry</a>, you can apply through the health insurance exchanges or make a claim when you file taxes. If you are claiming economic hardship or a religious exemption, you must get an exemption certificate from the online insurance exchange. If you are claiming that coverage is unaffordable, that you are in the United States without proper documentation or that you have a coverage gap of less than three months, you can make the claim when you file your 2014 taxes in 2015.<br><br>
<p>Americans who live abroad for <a href=""http://www.irs.gov/uac/Questions-and-Answers-on-the-Individual-Shared-Responsibility-Provision"" target=""_self"">at least 330 days within a 12-month period</a> also are not subject to the mandate. Insurance bought on the exchanges generally wouldn't cover them while overseas anyway (neither does Medicare, by the way). Expats need to find insurance that covers them in the country where they live. The State Department keeps <a href=""http://travel.state.gov/travel/cis_pa_tw/cis/cis_1470.html"" target=""_self"">this list of companies that provide international coverage</a>. For country-specific information, <a href=""http://travel.state.gov/travel/cis_pa_tw/cis/cis_4965.html"" target=""_self"">look here</a>.<br><br>",Penalties,Eligibility,
What about federal workers?,"<p>Most federal workers will continue to get their health coverage through the <a href=""https://www.healthcare.gov/if-i-have-medicare-do-i-need-to-do-anything/"">Federal Employees Health Benefits Program </a>and will not be required to purchase coverage through the health law's marketplaces. The only exceptions are for members of Congress and their personal staffs, who will be required to buy health insurance through the exchanges.</p>",Exchanges,Eligibility,
What if I am an immigrant in the U.S. legally?,"Legal immigrants are permitted to use the marketplaces — and may qualify for subsidies if their income is less than about $46,000 for an individual and $94,200 for a family of four. Legal immigrants may qualify for Medicaid if their income is low enough. The laws governing benefits to lawful immigrants are quite complex. The federal Department of Health and Human Services <a href=""http://aspe.hhs.gov/hsp/11/ImmigrantAccess/Eligibility/ib.shtml"">has a guide to Medicaid and other benefits</a> for immigrants.",Exchanges,Eligibility,
What if I am an undocumented immigrant?,"Immigrants who are in the country illegally are <a href=""http://www.irs.gov/uac/Questions-and-Answers-on-the-Individual-Shared-Responsibility-Provision"">barred</a> from buying insurance on the exchanges.",Exchanges,Eligibility,
What if my parents are on Medicare? Can I join them?,No. Medicare is primarily a program for individuals who are 65 and older. There's no family coverage available.,Young Adults,Eligibility,
"What if my parents don't have insurance or buying subsidized coverage at an exchange is cheaper than staying on my parents' insurance?
","Almost <a href=""http://www.offthechartsblog.org/health-reform-gives-young-adults-coverage-choices/"">anyone can shop for coverage</a> on the health insurance marketplace. But you will only be eligible for subsidies to reduce the cost of coverage under certain circumstances. If your parents don't claim you as a dependent on your tax return and your own income is between 100 and 400 percent of the federal poverty level ($11,490 and $45,960 in 2013), you could be eligible for premium tax credits on the exchange. But if your parents do claim you as a dependent, your eligibility for subsidies will be based on your family's income, not just your own.",Young Adults,Eligibility,
"If your employer currently offers insurance, do you have to use that insurance, or do you have the option of selecting another plan?","This is one of the most frequently asked questions about the health law. And the answer is, it depends. Pretty much anyone can drop employment-based insurance and buy a policy on the exchange instead. But in most cases you won't be eligible for a subsidy, no matter how low your income is.</br>

That's because the members of Congress who wrote the law didn't want people rushing out of their employment-based plans to the exchanges and getting federal subsidies. That would have run up the law's price tag considerably. For most people, though, it won't make a lot of economic sense to switch. Most employers pay at least some, and usually a lot, of the cost of employee health insurance.</br>

But there are <a href=""http://kff.org/infographic/employer-responsibility-under-the-affordable-care-act/"">two situations</a> in which you can drop the health insurance you've been getting through your job, and get a subsidy on the exchanges instead. One is if your employer's insurance plan is on the skimpy side and doesn't pay at least 60 percent of your typical health expenses. The second is if your coverage — <a href=""http://www.huffingtonpost.com/2013/01/30/obamacare-glitch-priced-out-of-health-care_n_2585695.html"">not your family's coverage, but your coverage</a> — costs more than 9.5 percent of your family income.",Exchanges,Employers,
Do the exchanges have a good selection of plans to choose from?,"The number of plans that you can choose from varies widely. In some states, only a couple of insurers are offering policies though the marketplace, while in others there may be a dozen or more. Even within a state, there will be differences in the number of plans available in different areas. Insurers generally offer a variety of types of plans, including familiar models like PPOs and HMOs.

",Exchanges,Enrolling,
How does it work to shop for insurance from an exchange?,"In theory, you can do all or most of it online. You go to healthcare.gov or to your state-run exchange, if there is one, and create an account. (If you aren't sure, healthcare.gov will let you know if your state has its own exchange.) You provide some basic information, like where you live and how old you are and you'll get a list of plans available in your area. If you provide income information, you'll be able to get an estimate of whether you'll be eligible for a subsidy or whether you might qualify for Medicaid.<br><br>

The exchange will offer a list of health plans and their premiums and out-of-pocket costs, including deductibles and co-payments. If you decide to buy one of those plans, in most cases, you will be directed to the insurer's Web site to make the payment. Some plans or insurance companies may require a phone call to set up payment. In some jurisdictions, consumers will make their first premium payment to the exchange and then further monthly payments to the insurer.<br><br>

If your income makes you eligible for a tax credit subsidy, it will be applied upfront to the monthly premium payment. You won't have to wait until you file your taxes in 2015 to get the credit.<br><br>

You can also fill out paper applications or apply over the phone.",Exchanges,Enrolling,
When can I shop at my exchange?,"You can enroll--and avoid paying any penalty--until March 31, 2014. If you sign up and pay your premium between Dec. 16 and Jan. 15, 2014, coverage starts on February 1.<br><br>

Jan. 16 - Feb. 15: coverage begins March 1.<br><br>

Feb. 16 - March 15: coverage begins April 1<br><br>

March 16 - 31: coverage begins May 1.<br><br>  For coverage starting in 2014, the Open Enrollment Period is October 1, 2013–March 31, 2014. <br>
For coverage starting in 2015, the Open Enrollment Period is November 15, 2014–January 15, 2015.
<br>

Generally, people will be able to enroll in or change plans once a year during an annual open enrollment period. This first year, that period is unusually long. In subsequent years, the time period is supposed to be shorter, running from Oct. 15 to Dec. 7.<br><br>",Exchanges,Basics,
What if I need help with signing up?,"The federal government has set up call centers to answer questions from people in states using the federal exchanges. That phone number is 1-800-318-2596. States running their own exchanges also have call centers.

Most states have also trained people called ""assisters"" and ""navigators"" who can walk people through the process, although in some states their training has been delayed. Contact information can be found on the exchange websites.",Exchanges,Enrolling,
What personal information will I have to give the exchange?,"You'll need to set up an account with your name, address and social security number. If you have an email address, you can provide that, too. The exchange will want to know about your marital status; the number of children under 18, birthdays of anyone who'll be covered; whether you smoke; financial information and citizenship status. The financial and citizenship information will be checked against records at the Internal Revenue Service and other government agencies.",Exchanges,Enrolling,
I'm having trouble signing up through HealthCare.gov. How can I get a paper application?,"There are several ways to get a paper application. One of them is actually from the much-maligned HealthCare.gov website. On the home page there are now four icons that have replaced the photo of the <a href=""http://www.buzzfeed.com/andrewkaczynski/the-search-for-the-mysterious-obamacare-website-girl"">smiling lady</a> no one was ever able to identify. One of those icons connects to the paper application. Operators at the HealthCare.gov call center (1-800-318-2596) can also provide paper applications, as can health care <a href=""http://www.npr.org/blogs/health/2013/10/01/226930768/first-step-in-health-exchange-enrollment-train-the-helpers"">navigators</a> or assisters. They are usually affiliated with local civic or health organizations such as community health centers or hospitals.",Enrolling,HealthCare.gov,
"What happens if I sign up for a plan on the health exchange and get federal subsidies to help pay the premiums, but then don't end up earning enough and should have been on Medicaid instead. Will she be expected to pay those subsidies back?","No. The way the law was written, it was expected that most people with low incomes would be <a href=""http://www.npr.org/blogs/health/2013/10/23/239833838/states-refusal-to-expand-medicaid-may-leave-millions-uninsured"">enrolled in the Medicaid program</a>. Because of that, if your income is under the poverty line — $11,490 for an individual this year — you're not eligible to buy coverage on the exchange. You could enroll in Medicaid instead, but only if your state is one of the 26 that are <a href=""http://kff.org/health-reform/state-indicator/state-activity-around-expanding-medicaid-under-the-affordable-care-act/"">expanding the program</a>. If not, you may fall into the gap where there is no program for you.<br>

The catch is that you have to estimate your income in advance. So you may overestimate your income, buy coverage and get subsidies, and then discover when tax time comes that you weren't actually eligible, after all, because you earned too little. Experts assure us that this possibility has been taken into account, and you won't be punished or thrown into jail or even asked to pay back the subsidies in those situations.<br>

On the other hand, if you underestimate your income and get subsidies, then end up earning more, come tax time the following year you will <a href=""http://healthpolicy.ucla.edu/programs/health-economics/projects/CalSIM/Documents/SubsidyRepaymentCPAC1.pdf"">be expected to pay back subsidies</a> you weren't eligible for.

",Medicaid,Income,
Can insurers deny me coverage because I have an existing medical condition?,No. The Affordable Care Act prohibits discrimination on the basis of prior or existing health conditions.,Exchanges,Insurance Companies,248880353
Can my insurer drop me?,"Your insurer generally can't drop you, as long as you keep up with your insurance premiums and don't lie on your application.",Exchanges,Insurance Companies,
Do all insurance companies have to offer policies through the exchange?,"No. Insurers <a href=""http://www.kaiserhealthnews.org/Stories/2013/August/02/univision-obamacare-deal-could-help-insurers-ahead.aspx"">are not required</a> to sell insurance through the exchanges. In several states, for example, the largest insurers decided not to offer insurance this year, while they wait and see how everything pans out. Some are concerned about the negative publicity that might result if the exchanges get off to a shaky start. Others want to wait and see if the exchanges will be profitable.",Exchanges,Insurance Companies,
Does the health care law offer any new benefits for Medicare beneficiaries?,"Yes. Medicare beneficiaries will receive more preventive <a href=""http://www.medicare.gov/coverage/preventive-and-screening-services.html"">care services</a> – including a yearly ""wellness"" visit, mammograms, colorectal screening, and more savings on prescription drug coverage. By 2020, the law will also close the <a href=""http://www.medicare.gov/part-d/costs/coverage-gap/more-drug-savings-in-2020.html"">Medicare gap in prescription drug coverage</a>, known as the ""<a href=""http://www.kaiserhealthnews.org/Stories/2011/February/11/doughnut-hole-FAQ.aspx"">doughnut hole</a>."" Seniors will still be responsible for 25 percent of their prescription drug costs.",Retirees and Seniors,Medicare,
